Kentik_ID,Status,Target_Network,Protocol,Peak_Bandwidth,Peak_Bandwidth_bps,Peak_PPS,Peak_PPS_raw,Attack_Start,Attack_End,Duration_min,Mitigation_UP,Mitigation_DOWN,ProtectedName,PolicyName,Source_Log_File
kentik_60201,Completed,69.14.200.195/32,UDP,0 bps,0,70.2K pps,70250,2026-03-30 02:30:23,2026-03-30 03:11:10,40,WOW-ARIN | WOW-RESIDENTAL-2 | WOW-RESIDENTAL-1,WOW-RESIDENTAL-2 | WOW-ARIN | WOW-RESIDENTAL-1,WOW-ARIN | WOW-RESIDENTAL-2 | WOW-RESIDENTAL-1,WOW-ARIN_1@007c9d-00002-0 | WOW-RESIDENTAL-2_1@007c9a-00004-0 | WOW-RESIDENTAL-1_2@007c9e-00003-0,alert.2026-03-30_2251.log
kentik_60202,Completed,143.59.71.41/32,UDP,147.3 Mbps,147343888,,0,2026-03-30 02:36:39,2026-03-30 03:17:26,40,WOW-ARIN | WOW-RESIDENTAL-1,WOW-ARIN,WOW-ARIN | WOW-RESIDENTAL-1,WOW-ARIN_1@007c9d-00002-0 | WOW-RESIDENTAL-1_2@007c9e-00003-0,alert.2026-03-30_2251.log
kentik_60203,Completed,24.96.122.158/32,UDP,0 bps,0,50.7K pps,50666,2026-03-30 02:36:55,2026-03-30 03:25:42,48,WOW-ARIN | WOW-RESIDENTAL-1,WOW-RESIDENTAL-1 | WOW-ARIN,WOW-ARIN | WOW-RESIDENTAL-1,WOW-ARIN_1@007c9d-00002-0 | WOW-RESIDENTAL-1_2@007c9e-00003-0,alert.2026-03-30_2251.log
kentik_60204,Completed,50.4.242.67/32,UDP,0 bps,0,54.1K pps,54082,2026-03-30 02:53:55,2026-03-30 03:34:14,40,WOW-ARIN | WOW-RESIDENTAL-1,WOW-RESIDENTAL-1 | WOW-ARIN,WOW-ARIN | WOW-RESIDENTAL-1,WOW-ARIN_1@007c9d-00002-0 | WOW-RESIDENTAL-1_2@007c9e-00003-0,alert.2026-03-30_2251.log
kentik_60205,Completed,96.27.31.20/32,UDP,0 bps,0,51.9K pps,51916,2026-03-30 02:53:55,2026-03-30 03:35:30,41,WOW-RESIDENTAL-2 | WOW-ARIN,WOW-RESIDENTAL-2 | WOW-ARIN,WOW-RESIDENTAL-2 | WOW-ARIN,WOW-RESIDENTAL-2_1@007c9a-00004-0 | WOW-ARIN_1@007c9d-00002-0,alert.2026-03-30_2251.log
kentik_60206,Completed,24.192.217.171/32,UDP,0 bps,0,50.2K pps,50166,2026-03-30 03:27:58,2026-03-30 04:09:00,41,WOW-ARIN | WOW-RESIDENTAL-1,WOW-ARIN | WOW-RESIDENTAL-1,WOW-ARIN | WOW-RESIDENTAL-1,WOW-ARIN_1@007c9d-00002-0 | WOW-RESIDENTAL-1_2@007c9e-00003-0,alert.2026-03-30_2251.log
kentik_60207,Completed,143.59.89.130/32,UDP,0 bps,0,58.5K pps,58500,2026-03-30 03:44:45,2026-03-30 04:39:16,54,WOW-ARIN | WOW-BUSINESS,WOW-ARIN | WOW-BUSINESS,WOW-ARIN | WOW-BUSINESS,WOW-ARIN_1@007c9d-00002-0 | WOW-BUSINESS_1@007c97-00001-0,alert.2026-03-30_2251.log
kentik_60208,Completed,96.27.230.10/32,UDP,27.39 Gbps,27392223104,,0,2026-03-30 06:30:32,2026-03-30 07:23:04,52,WOW-ARIN | WOW-RESIDENTAL-2,WOW-RESIDENTAL-2 | WOW-ARIN,WOW-ARIN | WOW-RESIDENTAL-2,WOW-ARIN_1@007c9d-00002-0 | WOW-RESIDENTAL-2_1@007c9a-00004-0,alert.2026-03-30_2251.log
kentik_60209,Completed,96.27.230.10/32,UDP,27.39 Gbps,27391288200,,0,2026-03-30 06:30:48,2026-03-30 07:08:49,38,,,,,alert.2026-03-30_2251.log
kentik_60210,Completed,64.233.212.22/32,UDP,0 bps,0,56.3K pps,56333,2026-03-30 07:08:48,2026-03-30 07:49:20,40,WOW-ARIN | WOW-RESIDENTAL-2,WOW-ARIN | WOW-RESIDENTAL-2,WOW-ARIN | WOW-RESIDENTAL-2,WOW-ARIN_1@007c9d-00002-0 | WOW-RESIDENTAL-2_1@007c9a-00004-0,alert.2026-03-30_2251.log
kentik_60211,Completed,24.214.224.192/32,UDP,0 bps,0,62.8K pps,62833,2026-03-30 09:47:36,2026-03-30 10:28:51,41,WOW-ARIN | WOW-RESIDENTAL-1,WOW-ARIN | WOW-RESIDENTAL-1,WOW-ARIN | WOW-RESIDENTAL-1,WOW-ARIN_1@007c9d-00002-0 | WOW-RESIDENTAL-1_2@007c9e-00003-0,alert.2026-03-30_2251.log
kentik_60212,Completed,68.179.155.21/32,UDP,0 bps,0,55.6K pps,55583,2026-03-30 17:17:07,2026-03-30 18:00:57,43,WOW-ARIN | WOW-RESIDENTAL-2,WOW-ARIN | WOW-RESIDENTAL-2,WOW-ARIN | WOW-RESIDENTAL-2,WOW-ARIN_1@007c9d-00002-0 | WOW-RESIDENTAL-2_1@007c9a-00004-0,alert.2026-03-30_2251.log
kentik_60213,Completed,24.96.208.64/32,UDP,0 bps,0,15.31M pps,15312954,2026-03-30 17:24:23,2026-03-30 18:05:13,40,WOW-ARIN | WOW-RESIDENTAL-1,WOW-ARIN | WOW-RESIDENTAL-1,WOW-ARIN | WOW-RESIDENTAL-1,WOW-ARIN_1@007c9d-00002-0 | WOW-RESIDENTAL-1_2@007c9e-00003-0,alert.2026-03-30_2251.log
kentik_60214,Completed,24.96.208.64/32,UDP,660.9 Mbps,660916976,,0,2026-03-30 17:34:39,2026-03-30 18:00:57,26,,,,,alert.2026-03-30_2251.log
kentik_60215,Completed,24.236.97.116/32,UDP,0 bps,0,60.1K pps,60082,2026-03-30 19:06:29,2026-03-30 19:46:45,40,WOW-ARIN | WOW-RESIDENTAL-1,WOW-ARIN | WOW-RESIDENTAL-1,WOW-ARIN | WOW-RESIDENTAL-1,WOW-ARIN_1@007c9d-00002-0 | WOW-RESIDENTAL-1_2@007c9e-00003-0,alert.2026-03-30_2251.log
kentik_60216,Completed,143.59.170.170/32,UDP,0 bps,0,103.6K pps,103583,2026-03-30 20:34:00,2026-03-30 21:14:32,40,WOW-ARIN | WOW-RESIDENTAL-2,WOW-ARIN | WOW-RESIDENTAL-2,WOW-ARIN | WOW-RESIDENTAL-2,WOW-ARIN_1@007c9d-00002-0 | WOW-RESIDENTAL-2_1@007c9a-00004-0,alert.2026-03-30_2251.log
kentik_60217,Completed,69.14.54.144/32,UDP,327.5 Mbps,327463440,,0,2026-03-30 20:52:16,2026-03-30 21:36:48,44,WOW-RESIDENTAL-2 | WOW-ARIN,WOW-ARIN | WOW-RESIDENTAL-2,WOW-RESIDENTAL-2 | WOW-ARIN,WOW-RESIDENTAL-2_1@007c9a-00004-0 | WOW-ARIN_1@007c9d-00002-0,alert.2026-03-30_2251.log
kentik_60218,Completed,69.1.2.63/32,UDP,140.4 Mbps,140443016,,0,2026-03-31 00:43:04,2026-03-31 01:30:19,47,WOW-ARIN | WOW-RESIDENTAL-1,WOW-RESIDENTAL-1 | WOW-ARIN,WOW-ARIN | WOW-RESIDENTAL-1,WOW-ARIN_1@007c9d-00002-0 | WOW-RESIDENTAL-1_2@007c9e-00003-0,alert.2026-03-30_2251.log
